"","date","state","cases","variant","status","data"
"301",2021-05-17,"Sabah",1,"Beta B.1.351","voc","inc"
"302",2021-05-17,"Johor",0,"Alpha B.1.1.7","voc","inc"
"303",2021-05-17,"Johor",0,"Delta B.1.617.2","voc","inc"
"304",2021-05-17,"Johor",0,"Eta B.1.525","voi","inc"
"305",2021-05-17,"Johor",0,"Theta P.3","voi","inc"
"306",2021-05-17,"Sarawak",0,"Beta B.1.351","voc","inc"
"307",2021-05-17,"Perlis",0,"Alpha B.1.1.7","voc","inc"
"308",2021-05-17,"Perlis",0,"Delta B.1.617.2","voc","inc"
"309",2021-05-17,"Perlis",0,"Eta B.1.525","voi","inc"
"310",2021-05-17,"Perlis",0,"Theta P.3","voi","inc"
"311",2021-05-17,"Selangor",16,"Beta B.1.351","voc","inc"
"312",2021-05-17,"W.P. Labuan",0,"Alpha B.1.1.7","voc","inc"
"313",2021-05-17,"W.P. Labuan",0,"Delta B.1.617.2","voc","inc"
"314",2021-05-17,"W.P. Labuan",0,"Eta B.1.525","voi","inc"
"315",2021-05-17,"W.P. Labuan",0,"Theta P.3","voi","inc"
"316",2021-05-17,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc","inc"
"317",2021-05-17,"Sabah",0,"Alpha B.1.1.7","voc","inc"
"318",2021-05-17,"Sabah",0,"Delta B.1.617.2","voc","inc"
"319",2021-05-17,"Sabah",0,"Eta B.1.525","voi","inc"
"320",2021-05-17,"Sabah",0,"Theta P.3","voi","inc"
"321",2021-05-17,"W.P. Labuan",0,"Beta B.1.351","voc","inc"
"322",2021-05-17,"Malaysia",0,"Alpha B.1.1.7","voc","inc"
"323",2021-05-17,"Malaysia",0,"Delta B.1.617.2","voc","inc"
"324",2021-05-17,"Malaysia",0,"Eta B.1.525","voi","inc"
"325",2021-05-17,"Malaysia",0,"Theta P.3","voi","inc"
"326",2021-05-25,"Johor",0,"Beta B.1.351","voc","inc"
"327",2021-05-25,"Selangor",0,"Alpha B.1.1.7","voc","inc"
"328",2021-05-25,"Selangor",0,"Delta B.1.617.2","voc","inc"
"329",2021-05-25,"Selangor",0,"Eta B.1.525","voi","inc"
"330",2021-05-25,"Selangor",0,"Theta P.3","voi","inc"
"331",2021-05-25,"Kedah",6,"Beta B.1.351","voc","inc"
"332",2021-05-25,"Sarawak",0,"Alpha B.1.1.7","voc","inc"
"333",2021-05-25,"Sarawak",0,"Delta B.1.617.2","voc","inc"
"334",2021-05-25,"Sarawak",0,"Eta B.1.525","voi","inc"
"335",2021-05-25,"Sarawak",0,"Theta P.3","voi","inc"
"336",2021-05-25,"Kelantan",17,"Beta B.1.351","voc","inc"
"337",2021-05-25,"Kelantan",0,"Alpha B.1.1.7","voc","inc"
"338",2021-05-25,"Kelantan",0,"Delta B.1.617.2","voc","inc"
"339",2021-05-25,"Kelantan",0,"Eta B.1.525","voi","inc"
"340",2021-05-25,"Kelantan",0,"Theta P.3","voi","inc"
"341",2021-05-25,"Malaysia",78,"Beta B.1.351","voc","inc"
"342",2021-05-25,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc","inc"
"343",2021-05-25,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc","inc"
"344",2021-05-25,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi","inc"
"345",2021-05-25,"W.P. Kuala Lumpur",0,"Theta P.3","voi","inc"
"346",2021-05-25,"Negeri Sembilan",1,"Beta B.1.351","voc","inc"
"347",2021-05-25,"Perak",0,"Alpha B.1.1.7","voc","inc"
"348",2021-05-25,"Perak",0,"Delta B.1.617.2","voc","inc"
"349",2021-05-25,"Perak",0,"Eta B.1.525","voi","inc"
"350",2021-05-25,"Perak",0,"Theta P.3","voi","inc"
"351",2021-05-25,"Perak",10,"Beta B.1.351","voc","inc"
"352",2021-05-25,"Kedah",0,"Alpha B.1.1.7","voc","inc"
"353",2021-05-25,"Kedah",0,"Delta B.1.617.2","voc","inc"
"354",2021-05-25,"Kedah",0,"Eta B.1.525","voi","inc"
"355",2021-05-25,"Kedah",0,"Theta P.3","voi","inc"
"356",2021-05-25,"Perlis",0,"Beta B.1.351","voc","inc"
"357",2021-05-25,"Pulau Pinang",0,"Alpha B.1.1.7","voc","inc"
"358",2021-05-25,"Pulau Pinang",0,"Delta B.1.617.2","voc","inc"
"359",2021-05-25,"Pulau Pinang",0,"Eta B.1.525","voi","inc"
"360",2021-05-25,"Pulau Pinang",0,"Theta P.3","voi","inc"
"361",2021-05-25,"Pulau Pinang",0,"Beta B.1.351","voc","inc"
"362",2021-05-25,"Negeri Sembilan",0,"Alpha B.1.1.7","voc","inc"
"363",2021-05-25,"Negeri Sembilan",0,"Delta B.1.617.2","voc","inc"
"364",2021-05-25,"Negeri Sembilan",0,"Eta B.1.525","voi","inc"
"365",2021-05-25,"Negeri Sembilan",0,"Theta P.3","voi","inc"
"366",2021-05-25,"Sabah",1,"Beta B.1.351","voc","inc"
"367",2021-05-25,"Johor",0,"Alpha B.1.1.7","voc","inc"
"368",2021-05-25,"Johor",0,"Delta B.1.617.2","voc","inc"
"369",2021-05-25,"Johor",0,"Eta B.1.525","voi","inc"
"370",2021-05-25,"Johor",0,"Theta P.3","voi","inc"
"371",2021-05-25,"Sarawak",0,"Beta B.1.351","voc","inc"
"372",2021-05-25,"Perlis",0,"Alpha B.1.1.7","voc","inc"
